#Time	#201	#202	#203
1533714754	0	0	0
1533714756	315	315	0
1533714758	0	315	315
1533714760	315	0	315
1533714762	0	0	0
1533714764	315	0	0
1533714766	0	315	315
1533714768	50834989	315	315
1533714770	102204549	0	0
1533714772	102204864	0	0
1533714774	102204549	0	315
1533714776	101469423	629	0
1533714778	102406648	0	315
1533714780	102154533	81830359	0
1533714782	101719477	101719792	315
1533714784	102154218	102154533	0
1533714786	102204864	102204549	0
1533714788	102154545	102154230	315
1533714790	101719465	101719465	315
1533714792	102204549	102205179	56185742
1533714794	102255232	102254917	102254917
1533714796	102154533	102154218	102154533
1533714798	101669361	101669361	101669676
1533714800	102254929	102255244	102254929
1533714803	71704047	102204852	102204537
1533714805	0	102154230	102154230
1533714807	315	101719465	101719780
1533714809	0	102204549	102204864
1533714811	0	102154860	102154230
1533714813	315	91502424	102204549
1533714815	315	0	101719465
1533714817	0	0	102154533
1533714819	0	315	102255232
1533714821	315	315	40667744
1533714823	315	0	0
1533714825	0	0	315
1533714827	0	315	315
1533714829	315	0	0
1533714831	0	315	0
1533714833	315	0	315
1533714835	0	0	0
1533714837	315	315	315
