#Flownum	Avg	Mid	Min	Max	StdEv
0	259.449000	63.000000	58	3709	655.205676
1	171.068000	77.000000	71	3560	453.337339
2	434.834000	96.000000	86	5449	994.846694
3	318.790000	108.000000	100	4206	696.875019
4	121.414000	120.000000	114	164	6.065361
5	138.896000	136.000000	131	235	9.774312
6	420.890000	152.000000	144	4672	830.290274
7	170.700000	168.000000	159	238	8.564228
8	183.001000	181.000000	174	281	7.925844
9	197.482000	195.000000	188	327	10.435117
10	567.079000	211.000000	201	4230	838.509310
11	310.930000	226.000000	217	3529	418.333708
12	242.397000	239.000000	230	353	12.385774
13	522.735000	256.000000	245	4349	747.247001
14	367.582000	271.000000	260	3926	471.632581
15	307.692000	285.000000	276	1995	156.441577
16	516.190000	301.000000	289	4217	703.906516
17	546.896000	319.000000	303	4461	740.369149
18	334.003000	331.000000	318	531	15.326154
19	580.538000	347.000000	333	4514	751.312915
20	360.311000	360.000000	346	431	8.957136
21	594.783000	379.000000	360	4584	713.254274
22	393.907000	392.000000	375	504	13.133330
23	621.431000	407.000000	390	4430	712.710121
24	421.012000	420.000000	404	587	14.134633
25	482.291000	437.000000	419	2912	271.072799
26	461.320000	452.000000	433	1557	85.333871
27	472.293000	466.000000	447	6304	185.052223
28	478.756000	479.000000	460	572	9.387570
29	493.460000	494.000000	475	602	10.579149
30	508.874000	510.000000	490	585	10.396351
31	528.287000	527.000000	507	754	18.217427
32	550.597294	543.000000	523	1604	80.876373
