#ChainNum	ElapsedTime
10	4040902
20	4033816
30	4042672
40	4046479
50	4057183
60	4064034
70	4066403
80	4079962
90	4081754
100	4091281
110	4115790
120	4107175
130	4113318
140	4130770
150	4134273
160	4138658
170	4145959
180	4152606
190	4156044
200	4169367
210	4175060
220	4185643
230	4186819
240	4195153
250	4206678
260	4221136
270	4230014
280	4221307
290	4238853
300	4279964
310	4257105
320	4255174
330	4263115
340	4291388
350	4297530
360	4306087
370	4308676
380	4316455
390	4344061
400	4350283
410	4336306
420	4332809
430	4342708
440	4389400
450	4358509
460	4365468
470	4378314
480	4393776
490	4440077
500	4406936
510	4416186
520	4425376
530	4415915
540	4440656
550	4435180
560	4438900
570	4468242
580	4518095
590	4533473
600	4492376
610	4492302
620	4500004
630	4516349
640	4520638
650	4524214
660	4518238
670	4566014
680	4577888
690	4602795
700	4620489
710	4607292
720	4662009
730	4626606
740	4644039
750	4632807
760	4689627
770	4671691
780	4631722
790	4632534
800	4684759
810	4647072
820	4605827
830	4591152
840	4594498
850	4586838
860	4548722
870	4483407
880	4469571
890	4442178
900	4421346
910	4430389
920	4410729
930	4400076
940	4431075
950	4407392
960	4308130
970	4314453
980	4315245
990	4248339
1000	4206852
1010	4215067
